geolocation_zip_code_prefix,geolocation_city,state_full_name
1037,sao paulo,SÃO PAULO
1046,sao paulo,SÃO PAULO
1041,sao paulo,SÃO PAULO
1035,sao paulo,SÃO PAULO
1012,são paulo,SÃO PAULO
1047,sao paulo,SÃO PAULO
1013,sao paulo,SÃO PAULO
1029,sao paulo,SÃO PAULO
1011,sao paulo,SÃO PAULO
1032,sao paulo,SÃO PAULO
1014,sao paulo,SÃO PAULO
1039,sao paulo,SÃO PAULO
1024,são paulo,SÃO PAULO
1009,sao paulo,SÃO PAULO
1020,são paulo,SÃO PAULO
1043,são paulo,SÃO PAULO
1050,sao paulo,SÃO PAULO
1045,sao paulo,SÃO PAULO
1007,sao paulo,SÃO PAULO
1005,sao paulo,SÃO PAULO
1017,são paulo,SÃO PAULO
1019,sao paulo,SÃO PAULO
1027,sao paulo,SÃO PAULO
1033,sao paulo,SÃO PAULO
1006,sao paulo,SÃO PAULO
1034,sao paulo,SÃO PAULO
1042,sao paulo,SÃO PAULO
1040,sao paulo,SÃO PAULO
1026,são paulo,SÃO PAULO
1036,sao paulo,SÃO PAULO
1048,são paulo,SÃO PAULO
1002,sao paulo,SÃO PAULO
1031,sao paulo,SÃO PAULO
1022,sao paulo,SÃO PAULO
1008,sao paulo,SÃO PAULO
1010,sao paulo,SÃO PAULO
1003,sao paulo,SÃO PAULO
1001,sao paulo,SÃO PAULO
1015,sao paulo,SÃO PAULO
1038,sao paulo,SÃO PAULO
1016,sao paulo,SÃO PAULO
1049,sao paulo,SÃO PAULO
1021,sao paulo,SÃO PAULO
1018,sao paulo,SÃO PAULO
1044,sao paulo,SÃO PAULO
1030,são paulo,SÃO PAULO
1025,sao paulo,SÃO PAULO
1004,sao paulo,SÃO PAULO
1023,sao paulo,SÃO PAULO
1028,sao paulo,SÃO PAULO
1155,sao paulo,SÃO PAULO
1122,são paulo,SÃO PAULO
1150,sao paulo,SÃO PAULO
1123,sao paulo,SÃO PAULO
1139,sao paulo,SÃO PAULO
1153,são paulo,SÃO PAULO
1104,sao paulo,SÃO PAULO
1136,são paulo,SÃO PAULO
1130,sao paulo,SÃO PAULO
1103,são paulo,SÃO PAULO
1156,são paulo,SÃO PAULO
1151,sao paulo,SÃO PAULO
1140,sao paulo,SÃO PAULO
1120,sao paulo,SÃO PAULO
1106,sao paulo,SÃO PAULO
1124,sao paulo,SÃO PAULO
1131,sao paulo,SÃO PAULO
1121,sao paulo,SÃO PAULO
1141,são paulo,SÃO PAULO
1125,sao paulo,SÃO PAULO
1102,são paulo,SÃO PAULO
1127,sao paulo,SÃO PAULO
1137,são paulo,SÃO PAULO
1135,sao paulo,SÃO PAULO
1138,sao paulo,SÃO PAULO
1128,sao paulo,SÃO PAULO
1109,sao paulo,SÃO PAULO
1132,sao paulo,SÃO PAULO
1108,sao paulo,SÃO PAULO
1107,sao paulo,SÃO PAULO
1154,sao paulo,SÃO PAULO
1152,sao paulo,SÃO PAULO
1134,são paulo,SÃO PAULO
1144,sao paulo,SÃO PAULO
1129,sao paulo,SÃO PAULO
1105,sao paulo,SÃO PAULO
1126,sao paulo,SÃO PAULO
1142,sao paulo,SÃO PAULO
1133,sao paulo,SÃO PAULO
1101,sao paulo,SÃO PAULO
